,density,material_id,unit_cell_formula
156,5.03975748301176,mp-27398,"{'Tl': 8.0, 'Br': 16.0}"
157,3.881670370054772,mp-27147,"{'Rb': 24.0, 'Bi': 8.0, 'Br': 48.0}"
158,3.7427906634209407,mp-30018,"{'Rb': 4.0, 'Zn': 2.0, 'I': 8.0}"
159,4.472517457587968,mp-1443,"{'Sn': 6.0, 'F': 16.0}"
160,2.7898297614054726,mp-27829,"{'Rb': 2.0, 'Se': 1.0, 'Cl': 6.0}"
161,3.50693719712438,mp-29336,"{'Rb': 4.0, 'Pu': 2.0, 'Cl': 12.0}"
162,4.3799634550420095,mp-1205388,"{'Rb': 4.0, 'Pd': 6.0, 'S': 8.0}"
163,5.108092021459438,mp-29612,"{'Rb': 4.0, 'Eu': 8.0, 'I': 20.0}"
164,7.562824220546571,mp-862947,"{'Ba': 2.0, 'Bi': 1.0, 'Au': 1.0}"
165,7.473718975757131,mp-998761,"{'Tl': 1.0, 'Ni': 1.0, 'F': 3.0}"
166,3.8953810890631186,mp-1104676,"{'Os': 1.0, 'Se': 2.0, 'Br': 12.0}"
167,3.6235113647914488,mp-540998,"{'Fe': 2.0, 'Te': 2.0, 'Br': 14.0}"
168,3.0822353931951283,mp-22988,"{'Cs': 1.0, 'Ge': 1.0, 'Cl': 3.0}"
169,3.9264192657539283,mp-667295,"{'Cs': 14.0, 'Cd': 6.0, 'Br': 26.0}"
170,4.617963540995724,mp-30520,"{'Tl': 8.0, 'S': 20.0}"
171,4.176017946249249,mp-28483,"{'W': 1.0, 'Br': 6.0}"
172,2.938028100191553,mp-998611,"{'Rb': 2.0, 'Sn': 2.0, 'Cl': 6.0}"
173,3.822120307593931,mp-1188465,"{'Cs': 6.0, 'Cd': 2.0, 'Br': 10.0}"
174,4.0460342475337345,mp-1096925,"{'Cs': 4.0, 'Ba': 4.0, 'I': 12.0}"
175,3.995894869023222,mp-1201774,"{'Cs': 12.0, 'As': 4.0, 'Se': 16.0}"
176,4.433935158181017,mp-574138,"{'Cs': 8.0, 'Te': 12.0, 'As': 4.0}"
177,6.014769329223499,mp-23165,"{'Pt': 12.0, 'Br': 36.0}"
178,5.758768090707553,mp-8378,"{'Tl': 6.0, 'Sb': 2.0, 'S': 8.0}"
179,3.103751659675597,mp-1205772,"{'Cs': 2.0, 'Mn': 1.0, 'Cl': 6.0}"
180,3.1188486620835745,mp-29449,"{'Rb': 16.0, 'Cu': 20.0, 'Cl': 36.0}"
181,4.498973827410834,mp-669308,"{'Cs': 6.0, 'Tm': 4.0, 'I': 18.0}"
182,4.841175613022179,mp-28368,"{'Tl': 2.0, 'Au': 2.0, 'Cl': 8.0}"
183,4.7393003686661,mp-510268,"{'Cs': 2.0, 'Pd': 3.0, 'S': 4.0}"
184,4.445907320757535,mp-571146,"{'Sn': 4.0, 'I': 4.0, 'Cl': 4.0}"
185,4.5144461918221,mp-27783,"{'Cs': 8.0, 'Re': 8.0, 'Br': 32.0}"
186,6.6771599785581275,mp-29237,"{'Tl': 16.0, 'Sn': 8.0, 'Se': 24.0}"
187,4.393114722569822,mp-29895,"{'Rb': 12.0, 'Bi': 8.0, 'I': 36.0}"
188,4.358137457546045,mp-1209423,"{'Rb': 4.0, 'Ba': 8.0, 'I': 20.0}"
189,7.85863720798812,mp-568895,"{'Ba': 2.0, 'Sb': 2.0, 'Au': 2.0}"
