material_id,band_gap,density,unit_cell_formula
mp-23846,7.1196,2.303840489899668,"{'K': 2.0, 'H': 2.0, 'F': 4.0}"
mp-1104135,7.6467,2.553581595555132,"{'Ca': 2.0, 'H': 4.0, 'F': 8.0}"
mp-29764,6.7,3.1556395062670344,"{'Rb': 2.0, 'H': 2.0, 'F': 4.0}"
mp-1219573,5.0236,2.558174575669224,"{'Sb': 1.0, 'H': 7.0, 'F': 12.0}"
mp-1196282,7.0169,3.15150270312842,"{'Cs': 8.0, 'H': 16.0, 'F': 24.0}"
mp-24668,6.5123,3.6998175513092737,"{'Cs': 2.0, 'H': 2.0, 'F': 4.0}"
mp-557810,7.5679,2.844436729696848,"{'Ba': 4.0, 'H': 24.0, 'F': 32.0}"
mp-23730,3.3726,1.498808579036392,"{'Na': 4.0, 'Mg': 4.0, 'H': 12.0}"
mp-24822,2.5979,1.4794043494699476,"{'Na': 10.0, 'Al': 6.0, 'H': 28.0}"
mp-23704,4.6748,1.3018057851158693,"{'Na': 2.0, 'Al': 2.0, 'H': 8.0}"
mp-23705,2.8147,1.482790941203693,"{'Na': 6.0, 'Al': 2.0, 'H': 12.0}"
mp-634657,3.1638,1.7569317018298654,"{'Na': 2.0, 'H': 2.0, 'S': 2.0}"
mp-23918,4.9716,1.9577506943909144,"{'Na': 2.0, 'Ga': 2.0, 'H': 8.0}"
mp-643001,2.2907,2.406281865344467,"{'Na': 8.0, 'H': 12.0, 'Ru': 2.0}"
mp-698032,2.519,2.4243352712035264,"{'Na': 12.0, 'H': 28.0, 'Ru': 4.0}"
mp-24747,3.1104,2.504583797537393,"{'Na': 12.0, 'H': 24.0, 'Rh': 4.0}"
mp-643260,2.2828,2.7308391588249505,"{'Na': 2.0, 'H': 4.0, 'Pd': 1.0}"
mp-867943,2.6315,3.6116130375733526,"{'Na': 12.0, 'H': 28.0, 'Os': 4.0}"
mp-707836,3.3079,3.743817373902067,"{'Na': 12.0, 'H': 24.0, 'Ir': 4.0}"
mp-697096,2.3317,4.328506478502542,"{'Na': 2.0, 'H': 4.0, 'Pt': 1.0}"
mp-690785,3.7491,4.096780290205595,"{'Na': 2.0, 'H': 6.0, 'Pt': 1.0}"
mp-23956,3.5537,1.5846926742491134,"{'K': 2.0, 'Mg': 1.0, 'H': 4.0}"
mp-23737,2.844,1.6934061485403034,"{'K': 1.0, 'Mg': 1.0, 'H': 3.0}"
mp-643573,1.6666,2.3047558214039983,"{'Mg': 6.0, 'Mn': 2.0, 'H': 14.0}"
mp-23804,1.9505,2.7767774317396268,"{'Mg': 2.0, 'Fe': 1.0, 'H': 6.0}"
mp-642660,0.2122,2.88225351233684,"{'Mg': 4.0, 'Co': 2.0, 'H': 10.0}"
mp-697331,1.6393,2.6851586704899018,"{'Mg': 8.0, 'Ni': 4.0, 'H': 16.0}"
mp-24662,3.4262,2.429170721500473,"{'Rb': 8.0, 'Mg': 6.0, 'H': 20.0}"
mp-23738,2.5466,2.568646555366567,"{'Rb': 6.0, 'Mg': 6.0, 'H': 18.0}"
mp-643009,2.8881,2.56201262128339,"{'Sr': 2.0, 'Mg': 2.0, 'H': 8.0}"
mp-864942,2.6427,2.763826347138056,"{'Mg': 6.0, 'Tc': 2.0, 'H': 14.0}"
mp-643023,1.0975,3.584614398048327,"{'Mg': 4.0, 'H': 8.0, 'Ru': 2.0}"
mp-697030,3.1709,3.5296392104064847,"{'Mg': 2.0, 'H': 6.0, 'Ru': 1.0}"
mp-571020,2.919,3.004943161821713,"{'Cs': 6.0, 'Mg': 6.0, 'H': 18.0}"
mp-697948,3.2824,3.21550500949922,"{'Cs': 8.0, 'Mg': 6.0, 'H': 20.0}"
mp-643895,2.6077,3.1250167651452547,"{'Cs': 6.0, 'Mg': 2.0, 'H': 10.0}"
mp-697671,2.9967,3.2458938801219066,"{'Ba': 6.0, 'Mg': 7.0, 'H': 26.0}"
mp-643370,2.9094,3.912951274916247,"{'Ba': 2.0, 'Mg': 1.0, 'H': 6.0}"
mp-733604,3.0524,3.083207056657983,"{'Ba': 4.0, 'Mg': 6.0, 'H': 20.0}"
mp-703316,2.5942,3.348957716375912,"{'La': 4.0, 'Mg': 8.0, 'H': 28.0}"
mp-643061,2.7082,4.090927668508481,"{'Mg': 6.0, 'Re': 2.0, 'H': 14.0}"
mp-643002,3.4486,5.456167141277982,"{'Mg': 2.0, 'H': 6.0, 'Os': 1.0}"
mp-643738,0.1513,3.0526367902130933,"{'Eu': 1.0, 'Mg': 2.0, 'H': 6.0}"
mp-643756,0.2759,4.221521560031172,"{'Eu': 2.0, 'Mg': 2.0, 'H': 8.0}"
mp-643108,3.1507,5.732086428388773,"{'Yb': 4.0, 'Mg': 3.0, 'H': 14.0}"
